20 2
0 0 0.00
0 1 118.92
0 2 119.61
0 3 6.40
0 4 113.76
0 5 46.33
0 6 113.07
0 7 4.01
0 8 56.18
0 9 119.20
0 10 113.07
0 11 43.21
0 12 33.11
0 13 59.70
0 14 120.53
0 15 31.25
0 16 113.52
0 17 111.66
0 18 114.72
0 19 50.99
1 0 118.92
1 1 0.00
1 2 79.10
1 3 112.51
1 4 76.45
1 5 72.59
1 6 78.08
1 7 122.92
1 8 102.86
1 9 5.20
1 10 10.47
1 11 92.18
1 12 85.80
1 13 106.37
1 14 3.42
1 15 87.67
1 16 51.24
1 17 8.57
1 18 7.59
1 19 97.66
2 0 119.61
2 1 79.10
2 2 0.00
2 3 113.21
2 4 5.86
2 5 73.29
2 6 6.54
2 7 123.62
2 8 81.20
2 9 73.89
2 10 68.63
2 11 92.88
2 12 86.50
2 13 76.98
2 14 75.67
2 15 88.37
2 16 27.85
2 17 70.53
2 18 71.51
2 19 81.10
3 0 6.40
3 1 112.51
3 2 113.21
3 3 0.00
3 4 107.35
3 5 39.92
3 6 106.67
3 7 10.41
3 8 55.15
3 9 112.80
3 10 106.67
3 11 42.18
3 12 26.71
3 13 58.67
3 14 114.13
3 15 24.84
3 16 107.12
3 17 105.26
3 18 108.31
3 19 49.96
4 0 113.76
4 1 76.45
4 2 5.86
4 3 107.35
4 4 0.00
4 5 67.43
4 6 1.64
4 7 117.76
4 8 75.34
4 9 71.24
4 10 65.98
4 11 87.02
4 12 80.64
4 13 71.12
4 14 73.02
4 15 82.51
4 16 25.20
4 17 67.88
4 18 68.86
4 19 75.24
5 0 46.33
5 1 72.59
5 2 73.29
5 3 39.92
5 4 67.43
5 5 0.00
5 6 66.74
5 7 50.34
5 8 73.62
5 9 72.87
5 10 66.75
5 11 60.64
5 12 13.21
5 13 77.13
5 14 74.21
5 15 15.08
5 16 67.20
5 17 65.33
5 18 68.39
5 19 68.43
6 0 113.07
6 1 78.08
6 2 6.54
6 3 106.67
6 4 1.64
6 5 66.74
6 6 0.00
6 7 117.08
6 8 74.66
6 9 72.88
6 10 67.61
6 11 86.33
6 12 79.95
6 13 70.43
6 14 74.66
6 15 81.82
6 16 26.84
6 17 69.52
6 18 70.49
6 19 74.55
7 0 4.01
7 1 122.92
7 2 123.62
7 3 10.41
7 4 117.76
7 5 50.34
7 6 117.08
7 7 0.00
7 8 59.84
7 9 123.21
7 10 117.08
7 11 46.86
7 12 37.12
7 13 63.35
7 14 124.54
7 15 35.26
7 16 117.53
7 17 115.67
7 18 118.72
7 19 54.65
8 0 56.18
8 1 102.86
8 2 81.20
8 3 55.15
8 4 75.34
8 5 73.62
8 6 74.66
8 7 59.84
8 8 0.00
8 9 97.65
8 10 92.39
8 11 12.98
8 12 61.15
8 13 4.23
8 14 99.43
