30 3
0 0 0.00
0 1 80.45
0 2 170.00
0 3 172.72
0 4 100.27
0 5 86.80
0 6 62.71
0 7 159.64
0 8 154.36
0 9 184.87
0 10 139.87
0 11 140.63
0 12 107.08
0 13 127.08
0 14 125.20
0 15 118.57
0 16 220.38
0 17 171.25
0 18 177.27
0 19 118.18
0 20 77.27
0 21 78.68
0 22 117.24
0 23 88.41
0 24 116.49
0 25 112.60
0 26 144.77
0 27 42.84
0 28 86.36
0 29 160.61
1 0 80.45
1 1 0.00
1 2 90.82
1 3 92.27
1 4 136.81
1 5 125.50
1 6 89.30
1 7 79.19
1 8 73.91
1 9 104.42
1 10 76.75
1 11 123.86
1 12 135.07
1 13 163.62
1 14 48.45
1 15 53.78
1 16 139.93
1 17 90.80
1 18 96.82
1 19 118.49
1 20 45.66
1 21 115.22
1 22 127.98
1 23 7.96
1 24 109.41
1 25 125.54
1 26 171.85
1 27 101.92
1 28 77.49
1 29 80.16
2 0 170.00
2 1 90.82
2 2 0.00
2 3 92.16
2 4 89.82
2 5 137.33
2 6 126.06
2 7 71.78
2 8 32.12
2 9 19.47
2 10 101.34
2 11 94.94
2 12 96.11
2 13 80.75
2 14 44.80
2 15 51.43
2 16 78.34
2 17 53.86
2 18 80.71
2 19 130.32
2 20 92.73
2 21 98.61
2 22 52.76
2 23 93.77
2 24 61.90
2 25 137.37
2 26 81.04
2 27 191.48
2 28 83.99
2 29 59.54
3 0 172.72
3 1 92.27
3 2 92.16
3 3 0.00
3 4 152.32
3 5 135.53
3 6 128.78
3 7 22.34
3 8 60.04
3 9 77.95
3 10 100.17
3 11 68.56
3 12 103.23
3 13 134.70
3 14 114.21
3 15 115.55
3 16 47.65
3 17 38.30
3 18 24.96
3 19 76.39
3 20 124.73
3 21 159.92
3 22 140.90
3 23 84.31
3 24 154.07
3 25 83.44
3 26 117.61
3 27 194.20
3 28 156.56
3 29 32.62
4 0 100.27
4 1 136.81
4 2 89.82
4 3 152.32
4 4 0.00
4 5 96.93
4 6 83.61
4 7 131.94
4 8 92.28
4 9 104.69
4 10 150.00
4 11 92.68
4 12 49.09
4 13 39.34
4 14 95.27
4 15 84.64
4 16 140.19
4 17 114.02
4 18 140.87
4 19 119.46
4 20 109.54
4 21 21.59
4 22 37.06
4 23 139.76
4 24 65.46
4 25 122.73
4 26 64.59
4 27 113.03
4 28 96.32
4 29 119.70
5 0 86.80
5 1 125.50
5 2 137.33
5 3 135.53
5 4 96.93
5 5 0.00
5 6 36.20
5 7 122.44
5 8 117.17
5 9 156.80
5 10 69.09
5 11 103.43
5 12 76.50
5 13 105.05
5 14 156.94
5 15 146.32
5 16 183.18
5 17 134.06
5 18 140.07
5 19 80.98
5 20 140.71
5 21 104.52
5 22 96.14
5 23 131.79
5 24 127.13
5 25 67.80
5 26 113.28
5 27 58.67
5 28 158.00
5 29 123.41
6 0 62.71
6 1 89.30
6 2 126.06
6 3 128.78
6 4 83.61
6 5 36.20
6 6 0.00
6 7 115.70
6 8 110.42
6 9 140.93
6 10 77.16
6 11 96.69
6 12 81.87
6 13 110.42
6 14 120.74
6 15 110.11
6 16 176.44
6 17 127.31
6 18 133.33
6 19 74.24
6 20 104.50
6 21 80.44
6 22 74.78
6 23 95.58
6 24 90.93
6 25 61.05
6 26 118.65
6 27 65.41
6 28 121.79
6 29 116.67
7 0 159.64
7 1 79.19
7 2 71.78
7 3 22.34
7 4 131.94
7 5 122.44
7 6 115.70
7 7 0.00
7 8 39.65
7 9 57.57
7 10 87.08
7 11 83.60
7 12 94.81
7 13 123.36
7 14 93.83
7 15 95.16
7 16 60.74
7 17 43.39
7 18 17.63
7 19 98.73
7 20 104.34
7 21 139.54
7 22 120.52
7 23 71.23
7 24 133.68
7 25 105.79
7 26 131.59
7 27 181.12
7 28 136.17
7 29 12.24
8 0 154.36
8 1 73.91
8 2 32.12
8 3 60.04
8 4 92.28
8 5 117.17
8 6 110.42
8 7 39.65
8 8 0.00
8 9 40.23
8 10 81.81
8 11 74.18
8 12 75.35
8 13 99.81
8 14 54.17
8 15 55.51
8 16 66.01
8 17 24.69
8 18 48.59
8 19 109.56
8 20 77.09
8 21 99.88
8 22 80.86
8 23 66.77
8 24 94.03
8 25 116.61
8 26 108.04
8 27 175.84
8 28 96.52
8 29 27.41
9 0 184.87
9 1 104.42
9 2 19.47
9 3 77.95
9 4 104.69
9 5 156.80
9 6 140.93
9 7 57.57
9 8 40.23
9 9 0.00
9 10 112.31
9 11 114.41
9 12 115.58
9 13 100.22
9 14 59.67
9 15 66.30
9 16 64.13
9 17 64.92
9 18 66.50
9 19 149.79
9 20 107.60
9 21 113.48
9 22 67.63
9 23 96.46
9 24 76.12
9 25 156.84
9 26 100.29
9 27 206.35
9 28 98.86
9 29 45.33
10 0 139.87
10 1 76.75
10 2 101.34
10 3 100.17
10 4 150.00
10 5 69.09
10 6 77.16
10 7 87.08
10 8 81.81
10 9 112.31
10 10 0.00
10 11 134.38
10 12 145.59
10 13 174.14
10 14 111.89
10 15 113.23
10 16 147.82
10 17 98.70
10 18 104.71
10 19 120.53
10 20 122.41
10 21 157.60
10 22 138.58
10 23 80.41
10 24 151.75
10 25 111.13
10 26 182.37
10 27 105.75
10 28 154.24
10 29 88.05
11 0 140.63
11 1 123.86
11 2 94.94
11 3 68.56
11 4 92.68
11 5 103.43
11 6 96.69
11 7 83.60
11 8 74.18
11 9 114.41
11 10 134.38
11 11 0.00
11 12 43.59
11 13 75.06
11 14 114.55
11 15 103.93
11 16 79.75
11 17 49.49
11 18 77.52
11 19 35.38
11 20 98.32
11 21 100.28
11 22 81.26
11 23 126.82
11 24 94.43
11 25 42.43
11 26 57.97
11 27 162.11
11 28 115.61
11 29 76.17
12 0 107.08
12 1 135.07
12 2 96.11
12 3 103.23
12 4 49.09
12 5 76.50
12 6 81.87
12 7 94.81
12 8 75.35
12 9 115.58
12 10 145.59
12 11 43.59
12 12 0.00
12 13 31.46
12 14 115.72
12 15 105.10
12 16 113.29
12 17 64.93
12 18 91.78
12 19 70.37
12 20 107.80
12 21 56.69
12 22 54.92
12 23 138.03
12 24 85.91
12 25 73.64
12 26 37.69
12 27 128.56
12 28 116.78
12 29 87.38
13 0 127.08
13 1 163.62
13 2 80.75
13 3 134.70
13 4 39.34
13 5 105.05
13 6 110.42
13 7 123.36
13 8 99.81
13 9 100.22
13 10 174.14
13 11 75.06
13 12 31.46
13 13 0.00
13 14 115.17
13 15 109.84
13 16 120.87
13 17 96.40
13 18 123.24
13 19 101.83
13 20 136.35
13 21 48.40
13 22 39.57
13 23 166.57
13 24 70.56
13 25 105.10
13 26 25.25
13 27 140.99
13 28 113.06
13 29 115.93
14 0 125.20
14 1 48.45
14 2 44.80
14 3 114.21
14 4 95.27
14 5 156.94
14 6 120.74
14 7 93.83
14 8 54.17
14 9 59.67
14 10 111.89
14 11 114.55
14 12 115.72
14 13 115.17
14 14 0.00
14 15 10.62
14 16 100.39
14 17 75.91
14 18 102.76
14 19 149.93
14 20 47.93
14 21 74.86
14 22 79.53
14 23 51.41
14 24 60.95
14 25 156.98
14 26 123.40
14 27 146.68
14 28 42.35
14 29 81.59
15 0 118.57
15 1 53.78
15 2 51.43
15 3 115.55
15 4 84.64
15 5 146.32
15 6 110.11
15 7 95.16
15 8 55.51
15 9 66.30
15 10 113.23
15 11 103.93
15 12 105.10
15 13 109.84
15 14 10.62
15 15 0.00
15 16 101.81
15 17 77.25
15 18 104.09
15 19 139.31
15 20 41.30
15 21 64.24
15 22 74.20
15 23 56.73
15 24 55.63
15 25 146.36
15 26 118.07
15 27 140.05
15 28 41.01
15 29 82.92
16 0 220.38
16 1 139.93
16 2 78.34
16 3 47.65
16 4 140.19
16 5 183.18
16 6 176.44
16 7 60.74
16 8 66.01
16 9 64.13
16 10 147.82
16 11 79.75
16 12 113.29
16 13 120.87
16 14 100.39
16 15 101.81
16 16 0.00
16 17 49.12
16 18 49.08
16 19 102.20
16 20 143.10
16 21 148.98
16 22 127.08
16 23 131.97
16 24 140.24
16 25 115.38
16 26 103.79
16 27 241.85
16 28 142.74
16 29 59.77
17 0 171.25
17 1 90.80
17 2 53.86
17 3 38.30
17 4 114.02
17 5 134.06
17 6 127.31
17 7 43.39
17 8 24.69
17 9 64.92
17 10 98.70
17 11 49.49
17 12 64.93
17 13 96.40
17 14 75.91
17 15 77.25
17 16 49.12
17 17 0.00
17 18 37.32
17 19 84.86
17 20 93.98
17 21 121.62
17 22 102.60
17 23 86.61
17 24 115.77
17 25 91.92
17 26 88.20
17 27 192.73
17 28 118.26
17 29 35.97
18 0 177.27
18 1 96.82
18 2 80.71
18 3 24.96
18 4 140.87
18 5 140.07
18 6 133.33
18 7 17.63
18 8 48.59
18 9 66.50
18 10 104.71
18 11 77.52
18 12 91.78
18 13 123.24
18 14 102.76
18 15 104.09
18 16 49.08
18 17 37.32
18 18 0.00
18 19 101.35
18 20 113.28
18 21 148.47
18 22 129.45
18 23 88.86
18 24 142.61
18 25 108.40
18 26 125.52
18 27 198.74
18 28 145.11
18 29 21.17
19 0 118.18
19 1 118.49
19 2 130.32
19 3 76.39
19 4 119.46
19 5 80.98
19 6 74.24
19 7 98.73
19 8 109.56
19 9 149.79
19 10 120.53
19 11 35.38
19 12 70.37
19 13 101.83
19 14 149.93
19 15 139.31
19 16 102.20
19 17 84.86
19 18 101.35
19 19 0.00
19 20 133.70
19 21 127.06
19 22 108.04
19 23 124.78
19 24 121.20
19 25 13.19
19 26 84.75
19 27 139.65
19 28 150.99
19 29 104.51
20 0 77.27
20 1 45.66
20 2 92.73
20 3 124.73
20 4 109.54
20 5 140.71
20 6 104.50
20 7 104.34
20 8 77.09
20 9 107.60
20 10 122.41
20 11 98.32
20 12 107.80
20 13 136.35
20 14 47.93
20 15 41.30
20 16 143.10
20 17 93.98
20 18 113.28
20 19 133.70
20 20 0.00
20 21 87.94
20 22 100.71
20 23 50.28
20 24 82.14
20 25 140.75
20 26 144.58
20 27 111.91
20 28 31.83
20 29 92.10
21 0 78.68
21 1 115.22
21 2 98.61
21 3 159.92
21 4 21.59
21 5 104.52
21 6 80.44
21 7 139.54
21 8 99.88
21 9 113.48
21 10 157.60
21 11 100.28
21 12 56.69
21 13 48.40
21 14 74.86
21 15 64.24
21 16 148.98
21 17 121.62
21 18 148.47
21 19 127.06
21 20 87.94
21 21 0.00
21 22 45.85
21 23 118.17
21 24 45.10
21 25 130.33
21 26 73.38
21 27 92.87
21 28 75.92
21 29 127.30
22 0 117.24
22 1 127.98
22 2 52.76
22 3 140.90
22 4 37.06
22 5 96.14
22 6 74.78
22 7 120.52
22 8 80.86
22 9 67.63
22 10 138.58
22 11 81.26
22 12 54.92
22 13 39.57
22 14 79.53
22 15 74.20
22 16 127.08
22 17 102.60
22 18 129.45
22 19 108.04
22 20 100.71
22 21 45.85
22 22 0.00
22 23 130.93
22 24 30.99
22 25 111.31
22 26 43.87
22 27 138.72
22 28 77.42
22 29 108.28
23 0 88.41
23 1 7.96
23 2 93.77
23 3 84.31
23 4 139.76
23 5 131.79
23 6 95.58
23 7 71.23
23 8 66.77
23 9 96.46
23 10 80.41
23 11 126.82
23 12 138.03
23 13 166.57
23 14 51.41
23 15 56.73
23 16 131.97
23 17 86.61
23 18 88.86
23 19 124.78
23 20 50.28
23 21 118.17
23 22 130.93
23 23 0.00
23 24 112.36
23 25 131.83
23 26 174.81
23 27 109.88
23 28 82.11
23 29 72.20
24 0 116.49
24 1 109.41
24 2 61.90
24 3 154.07
24 4 65.46
24 5 127.13
24 6 90.93
24 7 133.68
24 8 94.03
24 9 76.12
24 10 151.75
24 11 94.43
24 12 85.91
24 13 70.56
24 14 60.95
24 15 55.63
24 16 140.24
24 17 115.77
24 18 142.61
24 19 121.20
24 20 82.14
24 21 45.10
24 22 30.99
24 23 112.36
24 24 0.00
24 25 127.18
24 26 70.63
24 27 137.97
24 28 58.85
24 29 121.44
25 0 112.60
25 1 125.54
25 2 137.37
25 3 83.44
25 4 122.73
25 5 67.80
25 6 61.05
25 7 105.79
25 8 116.61
25 9 156.84
25 10 111.13
25 11 42.43
25 12 73.64
25 13 105.10
25 14 156.98
25 15 146.36
25 16 115.38
25 17 91.92
25 18 108.40
25 19 13.19
25 20 140.75
25 21 130.33
25 22 111.31
25 23 131.83
25 24 127.18
25 25 0.00
25 26 88.01
25 27 126.47
25 28 158.04
25 29 111.57
26 0 144.77
26 1 171.85
26 2 81.04
26 3 117.61
26 4 64.59
26 5 113.28
26 6 118.65
26 7 131.59
26 8 108.04
26 9 100.29
26 10 182.37
26 11 57.97
26 12 37.69
26 13 25.25
26 14 123.40
26 15 118.07
26 16 103.79
26 17 88.20
26 18 125.52
26 19 84.75
26 20 144.58
26 21 73.38
26 22 43.87
26 23 174.81
26 24 70.63
26 25 88.01
26 26 0.00
26 27 166.25
26 28 121.30
26 29 124.16
27 0 42.84
27 1 101.92
27 2 191.48
27 3 194.20
27 4 113.03
27 5 58.67
27 6 65.41
27 7 181.12
27 8 175.84
27 9 206.35
27 10 105.75
27 11 162.11
27 12 128.56
27 13 140.99
27 14 146.68
27 15 140.05
27 16 241.85
27 17 192.73
27 18 198.74
27 19 139.65
27 20 111.91
27 21 92.87
27 22 138.72
27 23 109.88
27 24 137.97
27 25 126.47
27 26 166.25
27 27 0.00
27 28 129.20
27 29 182.08
28 0 86.36
28 1 77.49
28 2 83.99
28 3 156.56
28 4 96.32
28 5 158.00
28 6 121.79
28 7 136.17
28 8 96.52
28 9 98.86
28 10 154.24
28 11 115.61
28 12 116.78
28 13 113.06
28 14 42.35
28 15 41.01
28 16 142.74
28 17 118.26
28 18 145.11
28 19 150.99
28 20 31.83
28 21 75.92
28 22 77.42
28 23 82.11
28 24 58.85
28 25 158.04
28 26 121.30
28 27 129.20
28 28 0.00
28 29 123.93
29 0 160.61
29 1 80.16
29 2 59.54
29 3 32.62
29 4 119.70
29 5 123.41
29 6 116.67
29 7 12.24
29 8 27.41
29 9 45.33
29 10 88.05
29 11 76.17
29 12 87.38
29 13 115.93
29 14 81.59
29 15 82.92
29 16 59.77
29 17 35.97
29 18 21.17
29 19 104.51
29 20 92.10
29 21 127.30
29 22 108.28
