Model,instance,n,p,d,Plants,Clusters,Time,obj,lproot,MIPGAP,Nodes,Median,Envy,IntraEnvy,ValidInequalities,IntraEnvyNew
Median,rnd001,10,2,2,"[2, 5]","[[0, 2, 3, 4, 6, 7, 9], [1, 5, 8]]",0.002198935,239.94,239.94,0,1,239.94,929.16,472.24,0,1131.88
Median,rnd001,10,3,2,"[1, 2, 3]","[[1, 5], [0, 2, 6, 7, 9], [3, 4, 8]]",0.002180099,169.07,169.07,0,1,169.07,754.27,266.22,0,618.6
Median,rnd001,10,5,2,"[2, 3, 5, 8, 9]","[[0, 2, 6, 7], [3, 4], [1, 5], [8], [9]]",0.002522945,92.46,92.46,0,1,92.46,510.62,104.8,0,432.2
Median,rnd002,10,2,2,"[4, 6]","[[2, 4, 5, 7, 9], [0, 1, 3, 6, 8]]",0.002659082,246.41,246.41,0,1,246.41,1064.57,512.26,0,1112.88
Median,rnd002,10,3,2,"[5, 6, 7]","[[5, 9], [0, 1, 3, 6, 8], [2, 4, 7]]",0.002269983,188.94,188.94,0,1,188.94,981.7,321.48,0,911.74
Median,rnd002,10,5,2,"[1, 3, 7, 8, 9]","[[0, 1, 6], [3], [2, 4, 7], [8], [5, 9]]",0.002140999,87.69,87.69,0,1,87.69,530.35,105.62,0,464.34
Median,rnd003,10,2,2,"[3, 6]","[[1, 3, 5, 7, 9], [0, 2, 4, 6, 8]]",0.004204035,293.62,293.62,0,1,293.62,1119.48,411.3,0,689.76
Median,rnd003,10,3,2,"[1, 5, 6]","[[1, 3, 7], [5, 9], [0, 2, 4, 6, 8]]",0.002323151,212.56,212.56,0,1,212.56,899.38,265.28,0,640.07
Median,rnd003,10,5,2,"[3, 6, 7, 8, 9]","[[3], [0, 2, 6], [7], [1, 4, 8], [5, 9]]",0.002336979,127.35,127.35,0,1,127.35,738.05,152.34,0,333.35
Median,rnd004,10,2,2,"[0, 8]","[[0, 1, 2, 4, 5, 7, 9], [3, 6, 8]]",0.002145052,150.19,150.19,0,1,150.19,818.89,367.86,0,1836.7
Median,rnd004,10,3,2,"[0, 3, 8]","[[0, 1, 2, 4, 5, 7, 9], [3], [6, 8]]",0.002140999,93,93,0,1,93,490.18,261.75,0,1724.93
Median,rnd004,10,5,2,"[2, 3, 4, 5, 6]","[[0, 2, 7, 9], [3], [1, 4], [5], [6, 8]]",0.002562046,38.72,38.72,0,1,38.72,224.86,44.14,0,798.68
Median,rnd005,10,2,2,"[4, 6]","[[0, 1, 4, 7, 8, 9], [2, 3, 5, 6]]",0.002229929,330.28,330.28,0,1,330.28,977.86,481.48,0,1010.98
Median,rnd005,10,3,2,"[0, 6, 8]","[[0, 3, 7], [2, 5, 6], [1, 4, 8, 9]]",0.002196074,235.62,235.62,0,1,235.62,1040.08,313.82,0,911.91
Median,rnd005,10,5,2,"[0, 2, 5, 8, 9]","[[0, 3, 7], [2], [5, 6], [1, 4, 8], [9]]",0.00229907,134.14,134.14,0,1,134.14,748.34,151.59,0,325.66
Median,rnd006,10,2,3,"[1, 5]","[[0, 1, 2, 3, 4, 6, 9], [5, 7, 8]]",0.002662897,445.17,445.17,0,1,445.17,1833.59,960.64,0,1255.74
Median,rnd006,10,3,3,"[1, 2, 5]","[[0, 1, 3, 4, 6, 9], [2, 8], [5, 7]]",0.002371073,297.17,297.17,0,1,297.17,1192.13,431.27,0,892.04
Median,rnd006,10,5,3,"[1, 2, 5, 6, 8]","[[0, 1, 3, 4, 9], [2], [5, 7], [6], [8]]",0.002100945,180.12,180.12,0,1,180.12,971.58,220.98,0,456.9
Median,rnd007,10,2,3,"[1, 2]","[[0, 1, 3, 6], [2, 4, 5, 7, 8, 9]]",0.002238035,581.09,581.09,0,1,581.09,2032.65,1001.49,0,1158.74
Median,rnd007,10,3,3,"[1, 2, 4]","[[0, 1, 3, 6], [2, 5, 7, 8], [4, 9]]",0.002210855,416.37,416.37,0,1,416.37,1946.73,621.81,0,852.63
Median,rnd007,10,5,3,"[1, 2, 3, 4, 5]","[[0, 1, 6], [2, 7, 8], [3], [4, 9], [5]]",0.002118826,227.56,227.56,0,1,227.56,1316.68,259.32,0,546.01
Median,rnd008,10,2,3,"[1, 3]","[[0, 1, 2, 4, 7], [3, 5, 6, 8, 9]]",0.002177,513.72,513.72,0,1,513.72,1641.4,804.28,0,1434.86
Median,rnd008,10,3,3,"[0, 2, 3]","[[0, 1, 7], [2, 4], [3, 5, 6, 8, 9]]",0.002129078,405.97,405.97,0,1,405.97,1629.31,572.32,0,1143.57
Median,rnd008,10,5,3,"[0, 3, 4, 6, 9]","[[0, 1, 7], [3, 5, 8], [2, 4], [6], [9]]",0.00207901,249.15,249.15,0,1,249.15,1370.99,280.5,0,644.51
Median,rnd009,10,2,3,"[5, 8]","[[0, 1, 2, 3, 5, 7], [4, 6, 8, 9]]",0.002209902,507.27,507.27,0,1,507.27,1808.79,886.91,0,1274.34
Median,rnd009,10,3,3,"[2, 3, 4]","[[0, 2, 9], [1, 3, 5, 7], [4, 6, 8]]",0.002300024,399.71,399.71,0,1,399.71,1866.81,592.71,0,735.88
Median,rnd009,10,5,3,"[0, 1, 3, 6, 8]","[[0, 2], [1], [3, 5, 7], [6], [4, 8, 9]]",0.002090931,202.8,202.8,0,1,202.8,1221.68,232.01,0,519.71
Median,rnd010,10,2,3,"[1, 5]","[[1, 7, 8, 9], [0, 2, 3, 4, 5, 6]]",0.002424002,538.87,538.87,0,1,538.87,1817.79,848.19,0,986.2
Median,rnd010,10,3,3,"[1, 4, 5]","[[1, 8, 9], [0, 4, 7], [2, 3, 5, 6]]",0.002180099,430.98,430.98,0,1,430.98,1925.52,568.64,0,655.22
Median,rnd010,10,5,3,"[0, 1, 2, 3, 4]","[[0], [1, 8, 9], [2], [3], [4, 5, 6, 7]]",0.002106905,250.54,250.54,0,1,250.54,1498.64,366.49,0,404.1
Median,rnd011,20,2,2,"[7, 17]","[[0, 1, 2, 5, 6, 7, 8, 10, 11, 14, 15, 18], [3, 4, 9, 12, 13, 16, 17, 19]]",0.011961222,733.42,733.42,0,1,733.42,5234.98,2673.52,0,4032.63
